date,classification,daily_pnl,trade_count,avg_trade_size
2025-04-03,Fear,-2365.961276,1748,4960.087614416476
2025-04-04,Fear,-25515.678949999998,1272,3015.3661399371067
2025-04-05,Fear,35907.33771,360,3521.011722222222
2025-04-06,Fear,47053.449272,1048,3388.59929389313
2025-04-07,Extreme Fear,34527.370305,2814,5138.682707889126
2025-04-08,Extreme Fear,34899.394798,943,9405.505196182397
2025-04-09,Extreme Fear,43120.444797,3967,7198.589984875221
2025-04-10,Fear,158261.822261,2127,13512.90704748472
2025-04-11,Fear,126406.479081,1096,10327.853166058394
2025-04-12,Fear,410419.694533,2109,26512.383826458037
2025-04-13,Neutral,48696.021521,1321,10727.596358819075
2025-04-14,Fear,45680.443063,890,14696.598853932584
2025-04-15,Fear,72357.706282,1131,18348.51303271441
2025-04-16,Fear,58631.730257,1608,22700.69396766169
2025-04-17,Fear,5427.919886,1031,2526.238128031038
2025-04-18,Fear,4880.4047439999995,1894,12994.007634635693
2025-04-19,Fear,71950.577495,2786,11739.577426417804
2025-04-20,Fear,25060.341936,1982,6118.110015136226
2025-04-21,Fear,34369.267906999994,1718,24507.598859138536
2025-04-22,Neutral,58652.763578,2998,11258.714222815212
2025-04-23,Greed,-419020.225731,6159,4981.72492125345
2025-04-24,Greed,50704.395965,2232,15720.841684587815
2025-04-25,Greed,20218.859206,1653,16787.32957047792
2025-04-26,Greed,-4125.753942,1131,10564.215534924844
2025-04-27,Greed,2702.067468,337,1446.6993768545994
2025-04-28,Neutral,36906.813759,1379,18944.83066715011
2025-04-29,Greed,125749.613427,2243,15198.177289344627
2025-04-30,Greed,14003.797269,1113,11405.10229110512
2025-05-01,Neutral,54536.829297000004,1230,8715.642699186992
